yyyyddd, (0) Northern_Hemisphere, (1) Beaufort_Sea, (2) Chukchi_Sea, (3) East_Siberian_Sea, (4) Laptev_Sea, (5) Kara_Sea, (6) Barents_Sea, (7) Greenland_Sea, (8) Baffin_Bay_Gulf_of_St._Lawrence, (9) Canadian_Archipelago, (10) Hudson_Bay, (11) Central_Arctic, (12) Bering_Sea, (13) Baltic_Sea, (14) Sea_of_Okhotsk, (15) Yellow_Sea, (16) Cook_Inlet
 2014336,11668882.57, 1074998.39,  696800.69, 1072850.49,  894771.33,  928366.76,  473499.76,  523489.08,  647878.33,  853656.72, 1095308.55, 3242883.17,   84132.41,       0.00,   76064.99,       0.00,       0.00
 2014337,11644559.04, 1074998.39,  691507.68, 1075410.13,  894771.33,  917976.29,  498064.36,  514114.24,  644850.83,  853656.72, 1099930.07, 3243635.30,   78690.08,       0.00,   49021.60,      19.63,       0.00
 2014338,11773402.40, 1074998.39,  691904.35, 1075410.13,  894771.33,  917976.29,  498064.36,  514114.24,  717017.10,  853656.72, 1154631.23, 3243635.30,   80269.35,       0.00,   49021.60,      19.63,       0.00
 2014339,11824301.51, 1074998.39,  727577.81, 1074766.79,  894771.33,  922995.95,  516174.81,  476639.62,  689476.51,  853656.72, 1192514.58, 3224472.44,   87371.03,       0.00,   79844.65,     981.50,     146.98
 2014340,11910804.51, 1074998.39,  754188.65, 1077288.07,  894771.33,  928106.53,  558577.77,  476854.30,  693781.64,  853656.72, 1199696.54, 3225152.02,   84829.12,       0.00,   79844.65,     981.50,     146.98
 2014341,12058615.80, 1074998.39,  763045.64, 1081231.54,  894771.33,  934471.93,  550288.65,  496412.72,  793267.08,  853656.72, 1216321.59, 3226417.67,   84829.12,       0.00,   79844.65,     981.50,     146.98
 2014342,12098376.20, 1074998.39,  774279.42, 1081231.54,  894771.33,  934471.93,  559319.13,  508144.61,  793927.80,  853656.72, 1216321.59, 3226417.67,   91913.13,       0.00,   79844.65,    1001.02,     146.98
 2014343,12187712.78, 1074998.39,  780917.19, 1083053.53,  894771.33,  934471.93,  589372.03,  523819.37,  803656.98,  853656.72, 1216344.64, 3226365.52,   94979.14,       0.00,  102227.74,    1001.02,     146.98
 2014344,12195559.92, 1074998.39,  828544.17, 1083427.26,  894771.33,  932405.03,  462885.54,  511209.25,  828461.95,  853656.72, 1242818.37, 3233757.15,  105958.85,       0.00,  133588.55,    1000.09,     146.98
 2014345,12328737.58, 1074998.39,  831637.73, 1087195.51,  894771.33,  932405.03,  491086.71,  519500.53,  891626.89,  853656.72, 1261445.64, 3233757.15,  113872.80,       0.00,  133588.55,    1000.09,     146.98
 2014346,12365632.67, 1074998.39,  843312.79, 1087195.51,  894771.33,  932405.03,  483949.70,  524136.38,  891626.89,  853656.72, 1261445.64, 3238758.94,  136592.20,       0.00,  133588.55,    1000.09,     146.98
 2014347,12455163.44, 1074998.39,  897346.73, 1089543.44,  894771.33,  932405.03,  483949.70,  524136.38,  889328.68,  853656.72, 1254579.25, 3238758.94,  159834.07,       0.00,  152629.30,    1000.09,     146.98
 2014348,12485299.49, 1074998.39,  965251.51, 1089543.44,  894771.33,  931411.09,  403483.74,  518741.69,  879941.25,  853656.72, 1254172.14, 3231971.08,  186922.00,       0.00,  191224.11,    1000.09,     146.98
 2014349,12545462.45, 1074998.39,  965251.51, 1089543.44,  894771.33,  932155.00,  427807.14,  508786.49,  883954.39,  853656.72, 1254172.14, 3236298.25,  179412.63,    4360.45,  231083.57,    1000.09,     146.98
 2014350,12556832.96, 1074998.39,  965251.51, 1089543.44,  894771.33,  932405.03,  424028.74,  527374.06,  883954.39,  853656.72, 1249797.27, 3236298.25,  180124.74,    4360.45,  231057.64,    1000.09,     146.98
 2014351,12610999.16, 1074998.39,  965251.51, 1089543.44,  894771.33,  913084.21,  438230.41,  538742.59,  874314.11,  853656.72, 1254812.86, 3238719.80,  208997.72,    4360.45,  244400.83,    8903.87,     146.98
 2014352,12621703.19, 1074998.39,  965251.51, 1089543.44,  894771.33,  918246.85,  434761.63,  520230.35,  894706.41,  853656.72, 1254812.86, 3238719.80,  213701.59,    2704.39,  248014.37,    9372.66,     146.98
 2014353,12769311.09, 1074998.39,  965251.51, 1089543.44,  894771.33,  932852.87,  485098.63,  544499.30,  941626.73,  853656.72, 1255639.15, 3240459.53,  222573.27,    2704.39,  248014.37,    9372.66,     146.98
 2014354,12835690.74, 1074998.39,  965251.51, 1089543.44,  894771.33,  930792.88,  486360.75,  532966.53,  929151.68,  853656.72, 1257776.18, 3240459.53,  231763.54,    2704.39,  326869.07,   10375.97,     146.98
 2014355,12876408.87, 1074998.39,  965251.51, 1089543.44,  894771.33,  930792.88,  500679.36,  548594.75,  930186.93,  853656.72, 1257773.18, 3240467.45,  235009.33,    2704.39,  332231.05,   11499.33,     146.98
 2014356,12938668.86, 1074998.39,  965251.51, 1089543.44,  894771.33,  930792.88,  514123.57,  539855.78,  998696.49,  853656.72, 1261451.62, 3238152.35,  232044.80,    2704.39,  326326.20,    8050.57,     146.98
 2014357,13029244.05, 1074998.39,  965251.51, 1089543.44,  894771.33,  933541.46,  536519.91,  528025.15, 1018954.49,  853656.72, 1256241.12, 3240075.29,  263623.08,    2704.39,  357218.90,    5907.96,     146.98
 2014358,13115184.21, 1074998.39,  965251.51, 1089543.44,  894771.33,  933569.58,  572849.09,  536122.98, 1043118.24,  853656.72, 1256241.12, 3240075.29,  266936.92,    2704.39,  370095.87,    7038.45,     146.98
 2014359,13142687.04, 1074998.39,  965251.51, 1089543.44,  894771.33,  933569.58,  582510.79,  543198.37, 1049283.58,  853656.72, 1256241.12, 3240075.29,  266936.92,    2704.39,  374696.25,    7038.45,     146.98
 2014360,13243205.62, 1074998.39,  965251.51, 1089543.44,  894771.33,  933645.30,  619269.45,  580623.32, 1052755.53,  853656.72, 1256241.12, 3243975.87,  272431.27,    2704.39,  388088.61,    7038.45,     146.98
 2014361,13318434.79, 1074998.39,  965251.51, 1089543.44,  894771.33,  933645.30,  617066.22,  589924.32, 1055042.83,  853656.72, 1256241.12, 3244968.87,  291189.78,    2704.39,  434235.49,    6960.75,     146.98
 2014362,13344941.55, 1074998.39,  965251.51, 1089543.44,  894771.33,  933645.30,  646568.29,  618412.24, 1014069.42,  853656.72, 1261451.62, 3248432.13,  290600.99,    2704.39,  435617.29,    6960.75,     146.98
 2014363,13246208.48, 1074998.39,  965251.51, 1089543.44,  894771.33,  933645.30,  629259.41,  583674.78,  977110.82,  853656.72, 1261451.62, 3248432.13,  265992.37,    7389.09,  446604.07,    6169.77,     146.98
 2014364,13255526.03, 1074998.39,  965251.51, 1089543.44,  894771.33,  933645.30,  626324.95,  572625.54, 1001820.80,  853656.72, 1261451.62, 3246347.59,  258508.49,    7389.09,  456242.72,    4690.80,     146.98
 2014365,13325853.99, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  635882.25,  614629.65, 1020422.39,  853656.72, 1261451.62, 3246286.64,  257994.44,    7389.09,  455809.95,    4690.80,     146.98
 2015001,13454696.79, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  648031.33,  632176.11, 1102508.50,  853656.72, 1261451.62, 3249311.26,  249301.78,    7389.09,  478494.49,    4690.80,     146.98
 2015002,13481885.94, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  662984.35,  622057.48, 1135064.48,  853656.72, 1261451.62, 3249311.26,  232267.33,    7389.09,  478494.49,   11486.13,     146.98
 2015003,13460701.88, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  616335.94,  585403.68, 1123033.55,  853656.72, 1261451.62, 3248123.33,  247416.40,    9132.87,  536785.84,   11486.13,     591.84
 2015004,13482149.74, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  622903.42,  608801.04, 1126373.79,  853656.72, 1261451.62, 3237142.03,  238367.82,    6293.65,  549713.25,    7798.67,    2450.79
 2015005,13429910.03, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  535486.74,  623375.14, 1138332.42,  853656.72, 1261451.62, 3239375.84,  238447.37,    6293.65,  556073.62,    7798.67,    2423.53
 2015006,13554661.58, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  638798.11,  636334.88, 1144987.05,  853656.72, 1261451.62, 3244631.74,  228671.93,    7305.33,  557698.75,   11482.65,    2423.53
 2015007,13449557.36, 1074998.39,  965229.39, 1089543.44,  894771.33,  934471.93,  599084.77,  580597.26, 1228359.56,  853656.72, 1261451.62, 3244565.53,  188400.71,    9132.59,  500763.73,   13924.20,    2423.53
 2015008,13544938.73, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  590475.90,  541507.95, 1323627.71,  853656.72, 1261451.62, 3242014.24,  235409.82,    9132.59,  475421.57,   13352.60,    2423.53
 2015009,13597516.66, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  604701.70,  564771.06, 1323354.10,  853656.72, 1261451.62, 3245522.71,  248149.38,    9132.59,  474536.17,   13352.60,    2423.53
 2015010,13569342.33, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  569580.13,  568165.53, 1326968.19,  853656.72, 1261451.62, 3245624.59,  248149.38,    9132.59,  474536.17,   13189.42,    2423.53
 2015011,13581145.80, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  551688.59,  559313.14, 1354685.03,  853656.72, 1261451.62, 3245624.59,  249821.28,    9132.59,  483744.78,   13189.42,    2423.53
 2015012,13756591.29, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  667732.05,  585743.43, 1363720.73,  853656.72, 1261451.62, 3249311.26,  265607.13,    9132.59,  489684.77,   11712.95,    2423.53
 2015013,13879881.02, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  739737.78,  602910.46, 1380375.28,  853656.72, 1261451.62, 3249311.26,  266976.29,    9132.59,  505698.19,   11712.95,    2423.53
 2015014,13908709.40, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  739737.78,  602910.46, 1380375.28,  853656.72, 1261451.62, 3249311.26,  266976.29,    9132.59,  534537.54,   11701.97,    2423.53
 2015015,13953690.27, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  739737.78,  580032.60, 1419668.99,  853656.72, 1261451.62, 3249311.26,  295608.48,    9132.59,  534537.54,   11701.97,    2423.53
 2015016,13973016.19, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  739737.78,  585092.50, 1419694.49,  853656.72, 1261451.62, 3249311.26,  306255.24,    9132.59,  539105.93,   11629.81,    2423.53
 2015017,14119785.16, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  746737.61,  628803.94, 1472104.08,  853656.72, 1261451.62, 3249311.26,  316613.11,    9132.59,  570492.31,   13533.66,    2423.53
 2015018,14243730.35, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  761007.77,  652607.42, 1501418.52,  853656.72, 1261451.62, 3249311.26,  358242.94,   16811.96,  577688.89,   13533.66,    2423.53
 2015019,14163010.83, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  757573.19,  599641.70, 1469219.84,  853656.72, 1261451.62, 3240477.08,  351642.40,   20784.85,  597045.96,   13533.66,    2423.53
 2015020,14207915.16, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  768207.98,  602611.00, 1469219.84,  853656.72, 1261451.62, 3240477.08,  369008.89,   20784.85,  610979.72,   13533.66,    2423.53
 2015021,14184650.51, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  788292.75,  560143.78, 1470361.86,  853656.72, 1261451.62, 3240477.08,  369217.15,   20784.85,  608747.24,   13533.66,    2423.53
 2015022,14294698.18, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  778169.60,  623708.81, 1493195.95,  853656.72, 1261451.62, 3240574.52,  387798.76,   24226.86,  620166.68,   13533.66,    2654.72
 2015023,14261132.36, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  747490.24,  623924.37, 1457519.11,  853656.72, 1261451.62, 3241494.34,  422272.46,   24226.86,  620166.68,   10687.88,    2654.72
 2015024,14332898.82, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  718483.86,  611174.61, 1470433.77,  853656.72, 1261451.62, 3245866.17,  496051.95,   45154.92,  623907.91,    8502.02,    2654.72
 2015025,14257585.62, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  676683.60,  569181.53, 1459416.74,  853656.72, 1261451.62, 3249311.26,  498719.69,   40954.24,  641695.96,    8502.02,    2654.72
 2015026,14284862.23, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  708280.27,  565736.44, 1459416.74,  853656.72, 1261451.62, 3249311.26,  498719.69,   40079.27,  641695.96,    8502.02,    2654.72
 2015027,14315225.89, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  726041.36,  585183.97, 1454090.04,  853656.72, 1261451.62, 3249311.26,  482308.22,   40079.27,  649736.42,   15354.75,    2654.72
 2015028,14223733.31, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  711197.31,  515038.34, 1440886.87,  853656.72, 1261451.62, 3238701.90,  489176.20,   38512.17,  661910.78,   15163.99,    2654.72
 2015029,14276421.24, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  713966.32,  522410.90, 1493935.36,  853656.72, 1261451.62, 3217849.02,  514183.24,   35651.69,  648656.92,   15163.99,    4112.79
 2015030,14317020.48, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  752624.61,  523717.35, 1434746.42,  853656.72, 1260663.84, 3229255.08,  524201.97,   30086.91,  696840.29,   17659.07,    4200.79
 2015031,14509112.65, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  789273.86,  581640.46, 1501616.92,  853656.72, 1260663.84, 3229261.97,  539372.32,   30086.91,  711918.92,   18125.01,    4200.79
 2015032,14536191.07, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  793980.13,  579773.43, 1501616.92,  853656.72, 1260663.84, 3229261.97,  543728.73,   30086.91,  731786.20,   18125.01,    4200.79
 2015033,14441753.29, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  797678.90,  558935.87, 1489675.87,  853656.72, 1260663.84, 3242046.08,  494764.37,   34877.78,  698076.54,   17749.58,    4200.79
 2015034,14421398.83, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  806564.22,  573044.06, 1483813.36,  853656.72, 1261449.56, 3240116.87,  471331.49,   34877.78,  684565.47,   17749.58,    4792.63
 2015035,14479265.68, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  806564.22,  573044.06, 1517476.23,  853656.72, 1261449.56, 3240116.87,  489602.79,   34877.78,  690455.31,   17792.43,    4792.63
 2015036,14600789.67, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  820982.53,  609869.43, 1560310.90,  853656.72, 1261449.56, 3240116.87,  495125.86,   42417.82,  704815.57,   17814.70,    4792.63
 2015037,14630538.34, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  820982.53,  619574.14, 1562698.52,  853656.72, 1261449.56, 3240297.06,  503850.47,   43616.76,  712270.54,   17912.33,    4792.63
 2015038,14691177.02, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  814389.89,  695934.41, 1558116.24,  853656.72, 1261449.56, 3240297.06,  504301.21,   43616.76,  707228.48,   17912.33,    4792.63
 2015039,14644420.04, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  774814.32,  692175.44, 1545784.22,  853656.72, 1261449.56, 3240297.06,  510367.11,   43616.76,  710072.15,   17912.33,    4792.63
 2015040,14773569.50, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  809960.45,  693708.99, 1577386.37,  853656.72, 1261449.56, 3240297.06,  568646.66,   46535.92,  711616.88,   15306.69,    5522.46
 2015041,14643024.31, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  730011.11,  668659.19, 1628913.69,  853656.72, 1261449.56, 3244016.63,  583647.72,   45088.54,  619053.73,   13523.22,    5522.46
 2015042,14716693.56, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  758170.69,  688257.97, 1653802.84,  853656.72, 1261449.56, 3244016.63,  607246.12,   15763.43,  626416.82,   12908.57,    5522.46
 2015043,14762888.23, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  764117.11,  699498.97, 1652370.02,  853656.72, 1261449.56, 3244016.63,  615197.01,   21252.21,  642605.60,   13720.21,    5522.46
 2015044,14772259.59, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  764117.11,  699766.16, 1653319.47,  853656.72, 1261449.56, 3244016.63,  622750.19,   21252.21,  643207.15,   13720.21,    5522.46
 2015045,14707313.27, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  755834.13,  720736.72, 1652150.59,  853656.72, 1261449.56, 3244111.74,  608753.38,   28062.37,  596696.58,   13720.21,    5522.46
 2015046,14680602.21, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  752073.32,  673727.67, 1644926.02,  853656.72, 1261449.56, 3249311.26,  635965.68,   30641.45,  591369.69,   13720.21,    5522.46
 2015047,14742095.80, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  752073.32,  680177.93, 1666257.84,  853656.72, 1261449.56, 3249311.26,  648275.90,   30641.45,  612142.44,   13720.21,    6150.99
 2015048,14733430.90, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  741217.58,  706873.75, 1632284.17,  853656.72, 1261449.56, 3249311.26,  660843.29,   30658.16,  610926.81,   11861.39,    6150.99
 2015049,14747398.57, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  711725.99,  718315.13, 1650821.27,  853656.72, 1261449.56, 3249311.26,  664084.88,   30658.16,  610926.81,   11861.39,    6150.99
 2015050,14612492.47, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  699002.81,  622746.20, 1664282.85,  853656.72, 1261449.56, 3249311.26,  621904.38,   25689.17,  619944.80,     962.16,    6127.59
 2015051,14616795.93, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  695961.08,  633897.23, 1669088.93,  853656.72, 1261449.56, 3249112.07,  608153.00,   30388.88,  615136.67,     962.16,    5738.10
 2015052,14760973.90, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  725874.46,  661477.59, 1682790.99,  853656.72, 1261449.56, 3249112.07,  656676.13,   30388.88,  639588.85,     962.16,    5738.10
 2015053,14755221.14, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  725874.46,  661477.59, 1661374.13,  853656.72, 1261449.56, 3249112.07,  649807.82,   30388.88,  662121.25,     962.16,    5738.10
 2015054,14813869.75, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  725874.46,  662024.35, 1678283.44,  853656.72, 1261449.56, 3249112.07,  661804.92,   30388.88,  690903.55,     962.16,    5738.10
 2015055,14706405.98, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  664985.34,  669383.52, 1737053.41,  853656.72, 1261449.56, 3249311.26,  579859.02,   28990.08,  669113.39,       0.00,    5327.28
 2015056,14705752.75, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  669480.95,  663965.53, 1747959.76,  853656.72, 1261449.56, 3247491.34,  544009.31,   21089.18,  705193.27,       0.00,    5327.28
 2015057,14745222.02, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  669480.95,  663965.53, 1757733.91,  853656.72, 1261449.56, 3247491.34,  548997.38,   21089.18,  729900.32,       0.00,    5327.28
 2015058,14760467.70, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  669480.95,  663965.53, 1762397.07,  853656.72, 1261449.56, 3247491.34,  550802.35,   21089.18,  738677.87,       0.00,    5327.28
 2015059,14824240.25, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  693748.74,  687158.48, 1790339.18,  853656.72, 1261449.56, 3248057.06,  514702.13,   21248.83,  762344.84,       0.00,    5327.28
 2015060,14849954.26, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  694954.98,  672964.64, 1823982.02,  853656.72, 1261449.56, 3248057.06,  511319.55,   21248.83,  770288.75,       0.00,    5327.28
 2015061,14873595.25, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  694954.98,  636990.92, 1846244.57,  853656.72, 1261449.56, 3248057.06,  546031.29,   21248.83,  772524.00,       0.00,    5327.28
 2015062,14904861.08, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  694954.98,  646297.64, 1857686.16,  853656.72, 1261449.56, 3248057.06,  548371.48,   21248.83,  780701.32,       0.00,    5327.28
 2015063,14633978.73, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  629331.81,  647027.27, 1814974.46,  853656.72, 1261449.56, 3236632.60,  488726.63,   17874.01,  691704.17,       0.00,    5327.28
 2015064,14736500.19, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  651667.90,  651278.66, 1847186.12,  853656.72, 1261449.56, 3236228.87,  506678.91,   17874.01,  719749.22,       0.00,    5327.28
 2015065,14785835.73, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  639006.53,  710170.32, 1865059.22,  853656.72, 1261449.56, 3236228.87,  491916.77,   17874.01,  719749.22,       0.00,    5327.28
 2015066,14832186.88, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  639006.53,  710725.72, 1864149.72,  853656.72, 1261449.56, 3236228.87,  498037.52,   17874.01,  760333.73,       0.00,    5327.28
 2015067,14824147.44, 1074998.39,  965251.51, 1089543.44,  894771.33,  934471.93,  639006.53,  680250.58, 1871427.86,  853656.72, 1261449.56, 3236228.87,  512470.76,   17874.01,  762816.82,       0.00,    5327.28
 2015068,14602125.70, 1074998.39,  965251.51, 1089543.44,  894771.33,  932574.71,  511750.00,  589977.65, 1905092.38,  853656.72, 1261449.56, 3235606.97,  529509.54,   15770.07,  732641.52,       0.00,    1157.62
 2015069,14536764.80, 1074998.39,  965251.51, 1089543.44,  894771.33,  915526.46,  442799.60,  587291.50, 1911769.98,  853656.72, 1261449.56, 3229613.50,  564993.73,   15129.07,  723463.21,       0.00,    1157.62
 2015070,14522772.48, 1074998.39,  965251.51, 1089543.44,  894771.33,  915526.46,  442799.60,  589658.36, 1927691.82,  853656.72, 1261449.56, 3229613.50,  587613.68,   15178.14,  670028.36,       0.00,    1157.62
 2015071,14649695.59, 1074998.39,  965251.51, 1089543.44,  894771.33,  920879.88,  547808.66,  659280.96, 1902116.18,  853656.72, 1261449.56, 3231996.53,  595911.48,   15178.14,  631803.15,       0.00,    1157.62
 2015072,14462087.06, 1074998.39,  965251.51, 1089543.44,  894771.33,  900463.46,  429013.74,  647217.37, 1902116.18,  853656.72, 1261449.56, 3232372.85,  605057.29,   15637.93,  585485.41,       0.00,    1157.62
 2015073,14522641.84, 1074998.39,  965251.51, 1089543.44,  894771.33,  912688.86,  484151.94,  570022.97, 1948205.22,  853656.72, 1261449.56, 3242593.73,  630582.92,   12780.08,  574454.26,       0.00,    4217.06
 2015074,14558235.37, 1074998.39,  965251.51, 1089543.44,  894771.33,  919536.46,  483009.99,  569266.86, 1969336.73,  853656.72, 1261449.56, 3239949.53,  617442.41,   13837.54,  597959.09,       0.00,    4951.97
 2015075,14620055.75, 1074998.39,  965251.51, 1089543.44,  894771.33,  919536.46,  515570.73,  586899.11, 1986677.24,  853656.72, 1261449.56, 3239949.53,  621012.71,   13837.54,  589706.95,       0.00,    4951.97
 2015076,14661985.65, 1074998.39,  965251.51, 1089543.44,  894771.33,  919536.46,  515570.73,  599647.65, 1993897.03,  853656.72, 1261449.56, 3239949.53,  639923.65,   13837.54,  592757.57,       0.00,    4951.97
 2015077,14646412.28, 1074998.39,  965251.51, 1089543.44,  894771.33,  919536.46,  515570.73,  599647.65, 1965812.73,  853656.72, 1261449.56, 3239949.53,  651711.03,   13837.54,  592757.57,       0.00,    5675.52
 2015078,14648626.50, 1074998.39,  965251.51, 1089543.44,  894771.33,  919536.46,  515570.73,  599647.65, 1953112.80,  853656.72, 1261449.56, 3239949.53,  657944.96,   13837.54,  601412.26,       0.00,    5701.06
 2015079,14558717.58, 1074998.39,  965251.51, 1089543.44,  894771.33,  919536.46,  512842.88,  599826.46, 1857343.96,  853656.72, 1261449.56, 3239949.53,  659920.98,   13837.54,  607949.01,       0.00,    5701.06
 2015080,14631694.99, 1074998.39,  965251.51, 1089543.44,  894771.33,  919604.82,  542760.43,  662642.15, 1827666.81,  853656.72, 1261449.56, 3249311.26,  659920.98,   13868.64,  608377.88,       0.00,    5701.06
 2015081,14663015.26, 1074998.39,  965251.51, 1089543.44,  894771.33,  934464.39,  595243.99,  659877.30, 1809018.11,  853656.72, 1261449.56, 3249311.26,  680259.27,   13868.64,  573399.03,       0.00,    5701.06
 2015082,14660150.08, 1074998.39,  965251.51, 1089543.44,  894771.33,  934464.39,  595243.99,  659877.30, 1791179.58,  853656.72, 1261449.56, 3249311.26,  694901.96,   13868.64,  573729.69,       0.00,    5701.06
 2015083,14630485.99, 1074998.39,  965251.51, 1089543.44,  894771.33,  934464.39,  595243.99,  650492.39, 1787845.81,  853656.72, 1261449.56, 3249311.26,  695118.16,   13868.64,  557686.77,       0.00,    4582.39
 2015084,14574308.11, 1074998.39,  965251.51, 1089543.44,  894771.33,  934464.39,  651244.03,  616420.65, 1750780.39,  853656.72, 1261449.56, 3247798.90,  685086.05,   15073.26,  529971.34,       0.00,    1840.26
 2015085,14649203.35, 1074998.39,  965251.51, 1089543.44,  894771.33,  934464.39,  671407.74,  605967.27, 1789592.07,  853656.72, 1261449.56, 3247798.90,  702925.05,   13316.29,  540271.45,       0.00,    1840.26
 2015086,14763617.68, 1074998.39,  965251.51, 1089543.44,  894771.33,  934464.39,  716606.24,  638536.80, 1797770.61,  853656.72, 1261449.56, 3247898.45,  711706.92,   13400.48,  559773.61,       0.00,    1840.26
 2015087,14752143.51, 1074998.39,  965251.51, 1089543.44,  894771.33,  934464.39,  716606.24,  608401.43, 1816304.59,  853656.72, 1261449.56, 3247898.45,  701784.76,   13400.48,  569822.98,       0.00,    1840.26
 2015088,14725535.03, 1074998.39,  965251.51, 1089543.44,  894771.33,  934464.39,  711907.87,  606901.49, 1796823.04,  853656.72, 1261449.56, 3247898.45,  696111.20,   13400.48,  574567.93,       0.00,    1840.26
 2015089,14540269.01, 1074998.39,  965251.51, 1089543.44,  894771.33,  934464.39,  637217.57,  621889.17, 1745418.94,  853656.72, 1261449.56, 3249184.62,  645357.10,   13466.25,  550438.41,       0.00,    1212.63
 2015090,14559464.67, 1074998.39,  965251.51, 1089543.44,  894771.33,  934473.02,  595527.35,  631893.35, 1774318.94,  853656.72, 1261449.56, 3248657.13,  667364.54,    9244.20,  555153.59,       0.00,    1212.63
 2015091,14539050.46, 1074998.39,  965251.51, 1089543.44,  894771.33,  934473.02,  595527.35,  631004.74, 1760039.75,  853656.72, 1261449.56, 3248657.13,  663610.96,    9244.20,  553660.77,       0.00,    1212.63
 2015092,14532708.47, 1074998.39,  965251.51, 1089543.44,  894771.33,  934473.02,  590593.05,  629814.44, 1753538.88,  853656.72, 1261449.56, 3248746.43,  669805.13,    9244.20,  553660.77,       0.00,    1212.63
 2015093,14543641.18, 1074998.39,  965251.51, 1089543.44,  894771.33,  934473.02,  587689.85,  648918.93, 1720048.78,  853656.72, 1261449.56, 3248746.43,  679604.86,    9290.21,  571975.19,       0.00,    1212.63
